Country,Electricidad_per_capita,mean_energia,Population_Mean,Population_media,Emisiones_gas,Emisiones_per_capita,PIB_per_capita,Poblacion,PIB
Australia,4.64182488280211e-07,9.504759612527836,20476342.5,19862146.0,182187.2741906861,0.009172587604113176,14004.574132840395,7665.23454326923,107348345.40682292
Austria,8.483895258955858e-06,69.3439811354183,8173601.75,8170262.0,28140.83460954945,0.003444300147235113,13973.884215330392,6041.006826923077,84416329.94344352
Belgium,3.6751973609113513e-07,3.8911292634947987,10587538.25,10592602.142857144,51824.46308209339,0.004892514830932258,13088.373192457308,7288.066826923076,95388938.48233739
Bulgaria,9.793983894527733e-07,7.778135935188575,7941748.75,7928486.571428572,21622.0490864847,0.0027271344778968067,7290.89139032466,6966.562234782608,50792448.61773744
Belarus,2.033622580967213e-08,0.20395731640013812,10029261.0,9791764.857142856,47145.08405431922,0.004814768812583159,12929.812683687429,9325.413534246574,120575850.19573177
Canada,1.910467750814563e-06,61.152188504754925,32009013.75,30908823.14285714,237691.25386420268,0.007690077773767709,16133.697837394799,15671.715073619633,252842715.59152454
Switzerland,7.526215357307593e-06,56.44269966626731,7499479.75,7436415.571428572,19194.73778488835,0.0025811814308275604,18127.5287596821,4309.080504807693,78112980.77868691
Cyprus,1.0395142135435755e-06,1.053470471496058,1013425.75,961881.8571428572,3532.1542142249646,0.0036721289501361024,14602.707470349951,733.7765479452055,10715124.278247051
Germany,1.2630472280167763e-07,10.240792892658176,81080047.25,80825030.85714285,312367.26784540876,0.0038647342850696054,5621.68756079431,57360.069307692305,322460388.1133533
Denmark,3.65627624269393e-06,19.848025200146328,5428480.75,5417047.285714285,27347.102026850498,0.005048341021310568,13406.73988193189,3285.2914903846154,44045048.44791088
Spain,4.927999752454484e-07,21.26871150442045,43158913.5,41752800.28571428,101039.41253288527,0.0024199433772459063,3145.592038955704,24932.340802884617,78426972.74208432
Estonia,1.826641589657174e-06,2.563574109361708,1403435.75,1396670.857142857,9042.185919429106,0.006474099372221837,19337.241813037253,1360.1938767123288,26302397.906598885
